"instance";"dataset";"ts";"model";"preprocess";"augment";"window_size";"test_size";"strategy";"true";"pred";"mse";"smape";"r2"
"knn";"gdp";"canada";"knn";"diff";"none";6;4;"sa";2137939,220075;1798464,025959;47089922223,7702;9,66778765961292;-0,224177937569133
"knn";"gdp";"canada";"knn";"diff";"none";6;5;"sa";2101647,88874;1835664,87860329;51821330115,2936;10,4364082461555;-0,347911697261627
"arima";"gdp";"china";"arima";"none";"none";0;1;"ro";14698122,409625;15426779,0555956;530940507717,151;4,83757031910532;-Inf
"arima";"gdp";"china";"arima";"none";"none";0;2;"ro";15058028,0094;15222503,751789;278996388775,777;2,96195838942236;-7,61551743218597
"arima";"gdp";"china";"arima";"none";"none";0;3;"ro";18220337,693014;15912633,9914902;1961163050526,13;6,48192047378208;0,216778711972065
"arima";"gdp";"china";"arima";"none";"none";0;4;"ro";18347051,406964;21426896,0135982;3842232988148,09;8,73312622808705;-0,316843701531343
"arima";"gdp";"china";"arima";"none";"none";0;5;"ro";18571020,990819;20284374,4233724;3660902387486,95;8,75032648396237;-0,233495024386884
"arima";"gdp";"china";"arima";"none";"none";0;1;"sa";14698122,409625;15426779,0555956;530940507717,151;4,83757031910532;-Inf
"arima";"gdp";"china";"arima";"none";"none";0;2;"sa";15058028,0094;16597271,4251734;1450105400359,39;7,28129931442501;-43,7798210225007
"arima";"gdp";"china";"arima";"none";"none";0;3;"sa";18220337,693014;18198175,3527152;966900656682,099;4,89476927602492;0,613853025877452
"arima";"gdp";"china";"arima";"none";"none";0;4;"sa";18347051,406964;19525227,4726247;1072200202935,48;5,22653665011843;0,632526166848423
"arima";"gdp";"china";"arima";"none";"none";0;5;"sa";18571020,990819;20594312,5905442;1676501941852,11;6,24764001007084;0,43512375235192
"knn";"gdp";"china";"knn";"diff";"none";6;1;"ro";14698122,409625;15415687,3283883;514899412639,76;4,76568673977832;-Inf
"knn";"gdp";"china";"knn";"diff";"none";6;2;"ro";15058028,0094;15594176,446602;401177279676,953;4,13197837246812;-11,3885110542829
"knn";"gdp";"china";"knn";"diff";"none";6;3;"ro";18220337,693014;16045699,2284327;1843802336996,78;6,98554413613391;0,263648557490352
"knn";"gdp";"china";"knn";"diff";"none";6;4;"ro";18347051,406964;19245893,4388721;1584831002328,78;6,43465108036295;0,456832854788914
"knn";"gdp";"china";"knn";"diff";"none";6;5;"ro";18571020,990819;19100160,3383447;1323862491683,01;5,70957141301852;0,553941180719548
"knn";"gdp";"china";"knn";"diff";"none";6;1;"sa";14698122,409625;15415687,3283883;514899412639,76;4,76568673977832;-Inf
"knn";"gdp";"china";"knn";"diff";"none";6;2;"sa";15058028,0094;16297198,5454617;1025221515041,62;6,33488158557086;-30,6592407287102
"knn";"gdp";"china";"knn";"diff";"none";6;3;"sa";18220337,693014;17206300,4838983;1026238163851,47;6,13149305164229;0,590155659775692
"knn";"gdp";"china";"knn";"diff";"none";6;4;"sa";18347051,406964;18193166,6913627;775598749312,527;4,80918875028963;0,734180011701981
"knn";"gdp";"china";"knn";"diff";"none";6;5;"sa";18571020,990819;19166295,0904919;691349250198,287;4,47831701635246;0,767058563716968
"arima";"gdp";"france";"arima";"none";"none";0;1;"ro";2728870,246706;2846009,08541883;13721507534,9912;4,20238113631732;-Inf
"arima";"gdp";"france";"arima";"none";"none";0;2;"ro";2647418,691598;2781531,86483285;15853925385,0566;4,57152386445273;-8,55868258650441
"arima";"gdp";"france";"arima";"none";"none";0;3;"ro";2959355,819171;2697398,04625998;33443241852,8716;6,1349393215749;-0,916362865832504
"arima";"gdp";"france";"arima";"none";"none";0;4;"ro";2775316,950606;3014471,6007528;39381168061,3636;6,66651869070126;-2,00837348036127
"arima";"gdp";"france";"arima";"none";"none";0;5;"ro";2971266,414013;2825833,60430037;35735074877,2732;6,33670158727978;-1,17039441249165
"arima";"gdp";"france";"arima";"none";"none";0;1;"sa";2728870,246706;2846009,08541883;13721507534,9912;4,20238113631732;-Inf
"arima";"gdp";"france";"arima";"none";"none";0;2;"sa";2647418,691598;2901061,29209067;39028038159,8368;6,67257951140656;-22,5308682034983
"arima";"gdp";"france";"arima";"none";"none";0;3;"sa";2959355,819171;2956113,4987625;26022196320,435;4,48492692331292;-0,491122509452624
"arima";"gdp";"france";"arima";"none";"none";0;4;"sa";2775316,950606;3011165,70543433;33422806028,845;5,40162366170888;-1,55320723701648
"arima";"gdp";"france";"arima";"none";"none";0;5;"sa";2971266,414013;3066217,91210617;28541402221,1033;4,95037881075009;-0,733481743583972
"knn";"gdp";"france";"knn";"diff";"none";6;1;"ro";2728870,246706;2868595,7974405;19523229528,0593;4,99245728808366;-Inf
"knn";"gdp";"france";"knn";"diff";"none";6;2;"ro";2647418,691598;2737597,58913325;13827731544,3662;4,17085491876507;-7,33704546437283
"knn";"gdp";"france";"knn";"diff";"none";6;3;"ro";2959355,819171;2731341,13834775;26548719253,2203;5,45176801437977;-0,52129329854173
"knn";"gdp";"france";"knn";"diff";"none";6;4;"ro";2775316,950606;3046121,90653075;38245370478,2666;6,4147540379491;-1,92160857479211
"knn";"gdp";"france";"knn";"diff";"none";6;5;"ro";2971266,414013;2784440,62696837;37577071323,5821;6,43017221067326;-1,28226933673983
"knn";"gdp";"france";"knn";"diff";"none";6;1;"sa";2728870,246706;2868595,7974405;19523229528,0593;4,99245728808366;-Inf
"knn";"gdp";"france";"knn";"diff";"none";6;2;"sa";2647418,691598;2891741,53763488;39608441311,809;6,90705692713541;-22,8808061127014
"knn";"gdp";"france";"knn";"diff";"none";6;3;"sa";2959355,819171;2916894,42856425;27006617438,6256;5,0864334850449;-0,547531756006569
"knn";"gdp";"france";"knn";"diff";"none";6;4;"sa";2775316,950606;2980960,12146262;30827241508,961;5,60107661177422;-1,35492902810154
"knn";"gdp";"france";"knn";"diff";"none";6;5;"sa";2971266,414013;3049504,267963;25886025565,3091;5,0006475964064;-0,572205611475967
"arima";"gdp";"germany";"arima";"none";"none";0;1;"ro";3889177,589255;4052747,6918834;26755178473,864;4,11915491113635;-Inf
"arima";"gdp";"germany";"arima";"none";"none";0;2;"ro";3887727,161914;3964143,76075863;16297337526,4228;3,03280536006641;-30986,3684399543
"arima";"gdp";"germany";"arima";"none";"none";0;3;"ro";4278503,93469;3961165,00144024;44432891202,9794;4,58944049648383;-0,314221436366925
"arima";"gdp";"germany";"arima";"none";"none";0;4;"ro";4076923,618912;4358164,10624123;53098721330,5309;5,10916728653083;-1,04244465094433
"arima";"gdp";"germany";"arima";"none";"none";0;5;"ro";4394652,127879;4151175,31955306;54335168302,9422;5,22696277597624;-0,302525199431423
"arima";"gdp";"germany";"arima";"none";"none";0;1;"sa";3889177,589255;4052747,6918834;26755178473,864;4,11915491113635;-Inf
"arima";"gdp";"germany";"arima";"none";"none";0;2;"sa";3887727,161914;4131052,02874679;42981084646,5299;5,09401525522955;-81722,2080842365
"arima";"gdp";"germany";"arima";"none";"none";0;3;"sa";4278503,93469;4209356,36561019;30247851867,5691;3,93911971432061;0,105338989830465
"arima";"gdp";"germany";"arima";"none";"none";0;4;"sa";4076923,618912;4287660,70247358;33788418497,6872;4,21403826844208;-0,299673003326911
"arima";"gdp";"germany";"arima";"none";"none";0;5;"sa";4394652,127879;4365965,03933698;27195324607,9533;3,50221265857301;0,348072404762228
"knn";"gdp";"germany";"knn";"diff";"none";6;1;"ro";3889177,589255;4131710,364408;58822147023,4158;6,04752931481208;-Inf
"knn";"gdp";"germany";"knn";"diff";"none";6;2;"ro";3887727,161914;3816419,05670625;31953496445,8677;3,9493455483217;-60754,615186072
"knn";"gdp";"germany";"knn";"diff";"none";6;3;"ro";4278503,93469;4068591,75700225;35990038411,1163;4,3094256951255;-0,0645015144183654
"knn";"gdp";"germany";"knn";"diff";"none";6;4;"ro";4076923,618912;4303758,6204715;39856058291,4618;4,58538989059831;-0,533065034813102
"knn";"gdp";"germany";"knn";"diff";"none";6;5;"ro";4394652,127879;4133956,754808;45477262141,295;4,89099840992237;-0,0901830580504122
"knn";"gdp";"germany";"knn";"diff";"none";6;1;"sa";3889177,589255;4131710,364408;58822147023,4158;6,04752931481208;-Inf
"knn";"gdp";"germany";"knn";"diff";"none";6;2;"sa";3887727,161914;4027821,53051625;39224289568,7396;4,7936276706451;-74579,127624612
"knn";"gdp";"germany";"knn";"diff";"none";6;3;"sa";4278503,93469;4110975,853175;35504745744,5251;4,52700700126287;-0,0501476876004727
"knn";"gdp";"germany";"knn";"diff";"none";6;4;"sa";4076923,618912;4405062,9431735;53547413340,0923;5,32958585769607;-1,05970360882291
